Num,Plaats,Datum,Time hh:mm:ss,Magnitude,Diepte_km,Easting,Northing,Province
339,Schildwolde,26/10/2008,02:48:50,1.1,3,249647,584979,Groningen
340,Stedum,29/10/2008,16:36:21,1.4,3,243128,594539,Groningen
341,Westeremden,30/10/2008,05:54:29,3.2,3,243780,595331,Groningen
342,Garsthuizen,07/11/2008,16:40:01,2.2,3,244687,600246,Groningen
343,Tetjehorn,10/12/2008,03:22:38,1.1,3,251102,589015,Groningen
344,Onderdendam,15/12/2008,20:41:17,1.5,3,235789,595078,Groningen
345,Oldenzijl,23/12/2008,15:16:58,1.4,3,242978,602663,Groningen
346,Delfzijl,01/01/2009,09:35:46,1.2,3,255918,594792,Groningen
347,Loppersum,01/01/2009,16:54:46,1.7,3,247181,598623,Groningen
348,Westeremden,08/01/2009,01:17:01,1.7,3,243557,596551,Groningen
349,Westeremden,09/01/2009,20:16:58,1.9,3,243305,595767,Groningen
350,Marsum,15/01/2009,12:41:13,1,3,253899,595751,Groningen
351,Sappemeer,17/01/2009,06:05:03,1.1,3,249138,576843,Groningen
352,Westeremden,01/02/2009,04:23:24,2.2,3,245064,597915,Groningen
353,Appingedam,03/02/2009,06:53:52,1.2,3,254154,593085,Groningen
354,Garsthuizen,04/02/2009,12:23:50,1.7,3,245163,599698,Groningen
355,Delfzijl,05/02/2009,11:56:12,1.1,3,257322,594599,Groningen
356,Overschild,16/02/2009,09:24:55,1.4,3,249193,591092,Groningen
357,Tripscompagnie,23/02/2009,18:03:15,1,3,251563,572661,Groningen
358,Delfzijl,13/03/2009,14:33:32,1.2,3,255871,597017,Groningen
359,Hoeksmeer,27/03/2009,02:51:28,1,3,249838,592218,Groningen
