Fault,Easting,Northing,ZTopLeft,ThicknessLeft1,ThicknessLeft2,ZTopRight,ThicknessRight1,ThicknessRight2,DipAzimuth,Dip,
mFS11_Fault_100,256499,587311,-2784.97,67.9782,135.9205,-2829.1,67.9706,135.9005,106.174,76.0669,
mFS11_Fault_100,256519,587380,-2785.86,67.9613,135.8957,-2826.97,67.9581,135.8833,107.044,75.3743,
mFS11_Fault_100,256539,587449,-2785.94,67.9599,135.9025,-2824.84,67.9601,135.8953,106.271,74.19,
mFS11_Fault_100,256558,587518,-2785.96,67.9741,135.9397,-2822.99,67.977,135.936,104.429,72.8121,
mFS11_Fault_100,256575,587588,-2786.64,68.0021,136.0054,-2821.69,68.007,136.0037,101.783,71.487,
mFS11_Fault_100,256588,587659,-2788.54,68.0432,136.0969,-2821.06,68.0497,136.0966,98.9738,70.3545,
mFS11_Fault_100,256598,587731,-2791.74,68.0954,136.2092,-2821.13,68.1033,136.2096,96.4169,69.4367,
mFS11_Fault_100,256606,587803,-2795.77,68.1555,136.3367,-2821.83,68.1641,136.337,94.0085,68.7597,
mFS11_Fault_100,256611,587875,-2799.81,68.2196,136.4706,-2823.24,68.2286,136.4711,92.2999,68.3582,
mFS11_Fault_100,256614,587948,-2803.2,68.284,136.6029,-2825.4,68.2932,136.6032,91.1837,68.1959,
mFS11_Fault_100,256617,588020,-2805.6,68.3457,136.7282,-2828.15,68.3547,136.7272,90.92,68.2256,
mFS11_Fault_100,256619,588092,-2807.09,68.4033,136.8435,-2831.15,68.4115,136.8407,91.7145,68.3682,
mFS11_Fault_100,256623,588164,-2807.9,68.4563,136.9483,-2833.99,68.4631,136.9437,93.1294,68.5438,
mFS11_Fault_100,256628,588236,-2808.3,68.5042,137.042,-2836.21,68.5096,137.0359,94.5503,68.6102,
mFS11_Fault_100,256635,588308,-2808.61,68.5461,137.1226,-2837.54,68.55,137.1146,95.7608,68.4848,
mFS11_Fault_100,256644,588380,-2809.01,68.5805,137.1861,-2837.95,68.5824,137.1756,97.1954,68.283,
mFS11_Fault_100,256654,588451,-2809.58,68.6064,137.2295,-2837.63,68.6055,137.2143,98.6712,68.0006,
mFS11_Fault_100,256665,588522,-2810.33,68.6235,137.2531,-2836.79,68.6183,137.2299,99.795,67.6247,
mFS11_Fault_100,256678,588593,-2811.3,68.6326,137.2597,-2835.59,68.6223,137.2266,100.636,67.182,
mFS11_Fault_100,256692,588664,-2812.55,68.6362,137.2544,-2834.2,68.6202,137.2096,101.466,66.7362,
mFS11_Fault_100,256707,588735,-2814.03,68.6365,137.2438,-2832.75,68.6149,137.1871,102.2,66.372,
mFS11_Fault_100,256722,588805,-2815.63,68.6367,137.2356,-2831.3,68.6097,137.1688,102.057,65.9889,
mFS11_Fault_100,256736,588876,-2817.11,68.6404,137.2376,-2829.84,68.609,137.1629,101.189,65.6469,
mFS11_Fault_100,256750,588948,-2818.27,68.6497,137.2561,-2828.32,68.6151,137.1756,100.454,65.5375,
mFS11_Fault_100,256763,589019,-2818.95,68.6667,137.2935,-2826.75,68.6298,137.2095,100.194,65.7378,
mFS11_Fault_100,256775,589091,-2819.05,68.6917,137.3505,-2825.21,68.6535,137.2646,100.249,66.2128,
mFS11_Fault_100,256788,589162,-2818.6,68.7244,137.426,-2823.61,68.6854,137.3397,100.365,66.8926,
mFS11_Fault_100,256800,589233,-2817.62,68.765,137.5178,-2821.8,68.7255,137.4319,100.462,67.7239,
mFS11_Fault_100,256813,589304,-2816.32,68.812,137.6234,-2819.71,68.7728,137.539,100.702,68.6796,
mFS11_Fault_7,249295,591343,-2790.89,72.6458,145.2406,-2788.49,72.515,144.9783,55.6515,87.0108,
mFS11_Fault_7,249272,591376,-2795.77,72.698,145.3474,-2787.22,72.5691,145.0891,54.5706,87.6043,
mFS11_Fault_7,249249,591408,-2808.2,72.7538,145.4616,-2787.19,72.6284,145.2102,54.1995,87.9539,
mFS11_Fault_7,249226,591441,-2823.1,72.8119,145.5797,-2787.99,72.69,145.3355,54.2537,88.1811,
mFS11_Fault_7,249203,591473,-2837.58,72.8719,145.7015,-2789.01,72.7531,145.4633,54.3687,88.2809,
mFS11_Fault_7,249180,591505,-2850.49,72.934,145.8277,-2790.11,72.8176,145.5944,52.5872,88.5962,
mFS11_Fault_7,249156,591537,-2860.53,72.9977,145.958,-2791.52,72.8827,145.7273,53.4272,88.7372,
mFS11_Fault_7,249132,591570,-2867.5,73.0607,146.0888,-2793.03,72.9456,145.8576,55.9593,89.0013,
mFS11_Fault_7,249111,591604,-2872.28,73.1214,146.2182,-2794.55,73.0043,145.983,58.1614,89.8618,
mFS11_Fault_7,249090,591638,-2876.01,73.1801,146.3468,-2796.26,73.0599,146.105,238.965,88.7011,
mFS11_Fault_7,249069,591673,-2879.47,73.2374,146.4745,-2798.22,73.113,146.2239,240.645,87.0753,
mFS11_Fault_7,249050,591708,-2883.43,73.293,146.6002,-2800.31,73.1636,146.3391,242.248,85.2495,
mFS11_Fault_7,249031,591743,-2888,73.3469,146.7236,-2802.04,73.2121,146.4511,243.53,83.2313,
mFS11_Fault_7,249014,591779,-2892.53,73.3998,146.8453,-2802.84,73.259,146.5595,244.431,81.1133,
mFS11_Fault_7,248997,591815,-2896.21,73.452,146.9625,-2803.23,73.3057,146.6656,247.191,79.5243,
mFS11_Fault_7,248982,591852,-2898.65,73.5029,147.0713,-2804.41,73.3539,146.7693,250.052,78.818,
mFS11_Fault_7,248969,591890,-2900.51,73.5526,147.1718,-2806.84,73.4042,146.8706,252.754,79.0174,
mFS11_Fault_7,248956,591928,-2902.46,73.6023,147.2679,-2810.32,73.4564,146.9714,252.941,79.616,
mFS11_Fault_7,248944,591966,-2904.27,73.6536,147.3657,-2814.45,73.5102,147.0751,251.359,80.1861,
mFS11_Fault_7,248929,592004,-2905.04,73.707,147.4703,-2818.83,73.5656,147.1842,248.284,80.3442,
mFS11_Fault_7,248913,592041,-2903.91,73.7623,147.5829,-2823.23,73.6219,147.2982,245.771,80.0541,
mFS11_Fault_7,248896,592077,-2900.97,73.8188,147.7001,-2827.59,73.6788,147.4163,244.969,79.5224,
mFS11_Fault_7,248879,592114,-2897.41,73.8758,147.819,-2829.79,73.7354,147.5351,244.661,78.8605,
mFS11_Fault_7,248862,592151,-2894.53,73.9327,147.939,-2829.75,73.7913,147.6529,244.978,78.1672,
mFS11_Fault_7,248846,592188,-2893.16,73.9896,148.0592,-2829.33,73.8467,147.7697,245.617,77.5036,
mFS11_Fault_7,248829,592225,-2893.18,74.0464,148.179,-2828.62,73.9015,147.8852,246.235,76.8704,
mFS11_Fault_7,248813,592262,-2893.82,74.1028,148.2981,-2827.94,73.9556,147.9992,246.895,76.2648,
mFS11_Fault_7,248798,592299,-2894.52,74.1586,148.4153,-2827.52,74.0091,148.112,247.606,75.69,
mFS11_Fault_7,248783,592336,-2894.87,74.2134,148.5303,-2827.48,74.0619,148.2232,248.637,75.1716,
mFS11_Fault_7,248768,592374,-2894.74,74.2667,148.6425,-2827.47,74.1138,148.3319,249.562,74.7041,
mFS11_Fault_7,248755,592412,-2894.15,74.3187,148.7516,-2827.2,74.1647,148.4383,250.537,74.2968,
